관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
서울특별시 종로구청,서울특별시 종로구 경교장길 5,서울특별시 종로구 교남동 7,생활방범,3,200,카메라 전면(고정),30,2011-12,02-2148-4301,37.5673870 ,126.9658040 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 경교장길 5,서울특별시 종로구 교남동 7,생활방범,1,130,360도전방면,30,2011-12,02-2148-4301,37.5673870 ,126.9658040 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 경희궁1길 1,서울특별시 종로구 신문로2가 1-153,생활방범,1,200,카메라 전면(고정),30,2015-12,02-2148-4301,37.5706260 ,126.9719320 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 경희궁3나길 2,서울특별시 종로구 사직동 311-6,생활방범,4,200,360도전방면,30,2015-12,02-2148-4301,37.5738220 ,126.9672130 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 경희궁길 10-2,서울특별시 종로구 신문로2가 1-241,생활방범,2,200,360도전방면,30,2015-12,02-2148-4301,37.5712280 ,126.9719640 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 계동4길 19,서울특별시 종로구 계동 34-1,생활방범,1,200,카메라 전면(고정),30,2015-12,02-2148-4301,37.5824160 ,126.9879610 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 계동4길 9,서울특별시 종로구 계동 29,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5822380 ,126.9873870 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 계동길 69,서울특별시 종로구 계동 79-7,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5804210 ,126.9867470 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 김상옥로 42-1,서울특별시 종로구 효제동 295,생활방범,2,200,360도전방면,30,2013-12,02-2148-4301,37.5732550 ,127.0022178 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 김상옥로 51,서울특별시 종로구 효제동 115-1,생활방범,2,200,360도전방면,30,2011-04,02-2148-4301,37.5733468 ,127.0034810 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 김상옥로 51,서울특별시 종로구 효제동 115-1,생활방범,1,41,카메라 전면(고정),30,2011-04,02-2148-4301,37.5733468 ,127.0034810 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 김상옥로 54,서울특별시 종로구 효제동 273,교통단속,1,200,360도전방면,30,2005-05,02-2148-4301,37.5733690 ,127.0035880 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 김상옥로 71,서울특별시 종로구 충신동 179-10,교통단속,1,200,360도전방면,30,2005-05,02-2148-4301,37.5736510 ,127.0057020 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 낙산3길 27,서울특별시 종로구 동숭동 201-33,생활방범,2,200,360도전방면,30,2015-12,02-2148-4301,37.5793810 ,127.0063460 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 낙산4길 24,,다목적,1,200,360도전방면,30,2014-10,02-2148-4301,37.5787890 ,127.0071790 ,2018-02-09
서울특별시 종로구청,서울특별시 종로구 낙산5길 33,,다목적,1,200,360도전방면,30,2014-10,02-2148-4301,37.5788360 ,127.0108980 ,2018-02-09
